ID,Is_Lead
VBENBARO,0.042381047068826574
CCMEWNKY,0.8670623774622317
VK3KGA9M,0.05384134582085957
TT8RPZVC,0.025063031378799713
SHQZEYTZ,0.02279734525382365
MZZAQMPT,0.09070551400835758
Y88TW36I,0.08961248493079561
3UGOAQNU,0.05383360921703528
VVUKMUJT,0.985505656932182
9R363ZXS,0.1690466994528867
BLISM6JE,0.053655977277133435
CH8S7JK7,0.256872082852916
EAHDPXEJ,0.8264043958571228
BNUK9PRF,0.3116304002356053
GP2PG6FJ,0.05412346812614626
WNQCSN8A,0.03941525454699331
32DN4YVZ,0.46318426088796916
GXAMDANM,0.053550010793407085
MXETLUP4,0.07478160415145856
MPXK6TVE,0.8319927583199497
LBSIME2K,0.14964995587783625
D6ORJTM6,0.05289847812712116
HGDIBAKA,0.8126156530708893
UUZYL9DZ,0.4070422313682557
AUGE3VWK,0.0541101138663347
MX7GOX6Q,0.08897868286955599
TQN6K35W,0.06650866855564617
QQDRMQQN,0.49672165917040745
UP6GC6F4,0.04844528268307807
BMHBUVHB,0.6210780422270644
KGLDW86A,0.15898624159393915
FQEOMOP4,0.13083082303561208
DYWM5MEU,0.17923228983152173
DXHGXV8F,0.05907323930185764
AVFBFQKC,0.17314492359133532
DBIDKYMV,0.13399914641420102
KYZHMEBY,0.251759550774076
SSFEBUGF,0.05356789444260161
MGJTAG8X,0.4585071990660272
MP6BERDO,0.15845627858377995
GXZ8ED68,0.05281765881627483
ICTFGWQR,0.6035727705752546
EAYHTRKH,0.02324720592215935
6FN97QLQ,0.10968564614353855
3H5MZDDW,0.365128083302935
2DXZZWSN,0.043597505962715326
MM4QIRE5,0.07493639897537024
HJWVYXUA,0.14461457804492323
RBRSJUP3,0.8265707435711842
YFRQKGXW,0.40936112248087686
N3SADEBV,0.052092498362530965
G2A2YYXY,0.04103089995156717
XMGA3WT3,0.05841736299291521
KVZQPSGI,0.1661325869438536
UAKARBBG,0.04280636017178595
WYKKL85Z,0.21113873320377563
GHNYYGRR,0.11040035737666162
UBAJANWT,0.05340820888434557
LSARSF7U,0.021272567456437592
4CNSJVVR,0.23479228475510783
JRHJSWYO,0.36008730488221896
FHZ8SVVI,0.07089873195282731
JUIRE47M,0.8667121204135015
GDIVN2GL,0.060657720749597736
WMF3DYE3,0.8008051825447504
MAQEHEWK,0.1722049351445487
2W8DLKFU,0.055633000008796916
AKGRML6H,0.12138919013090746
B7WUUGCY,0.04517764895533749
TLJOYATM,0.42076554098790747
UH6ZDM3W,0.866308171115429
7IP5SSRR,0.8045550305774917
PV85PMEB,0.505355179089855
FGDOY4NI,0.14954813934318523
7YYIXJQE,0.06078354453801593
BHW42XPW,0.0622655525417089
3PKEEAT4,0.30722112437224147
ACFPZ3LM,0.05398415617383876
6GORGNYN,0.8304284808134333
AEPQTMJK,0.25238832497766506
S6FNZFKK,0.05351938255521867
JTYNEKRQ,0.6697715287780808
GPXDPHHC,0.060961013208537154
O8TMKNNB,0.058832875485489836
XSQVHKYG,0.05349509791156207
MJ3CZRAE,0.02294000145922042
3NSQEYBJ,0.3856385155178844
SXVBASGH,0.05237446740632286
5ZIGZYSS,0.05523372138830783
FQSHBCUT,0.3597679731560036
MU45XUBP,0.05552558117884274
BVULDPBI,0.06487695153065061
82GRNPFG,0.8310108914720016
KKBNELBF,0.041519518530437914
HXQGBDGY,0.054044287228509125
28HDZICG,0.5371337842527808
GHBPKPJC,0.052907421529991214
FDWZFSSC,0.8491854089490958
FWTIWZF3,0.053231151047258916
JYMHVPMY,0.04268079692711087
AHUDO2T6,0.8374958071937126
ACDHABS3,0.2757280161719669
5NTYJJDV,0.07781940425936829
2M4VPY4V,0.09575326074365335
KAHP9XLF,0.07203897358636135
YRLEWZFQ,0.12220986221676902
JZWVLXHJ,0.1517038423394526
JZZSXUKT,0.29130217414786264
93RURE2J,0.8495983549057267
4RNB6FDV,0.23853977335669613
27E7HMMG,0.0861919838795964
2QEFQQWN,0.05491383540454901
DDTCD2XI,0.07660085656825213
VGVEYSEG,0.8239118560394507
WCXVE7RK,0.06145282491162623
RTN4R3UE,0.044193822322682375
K2PVS4RB,0.05141656486561354
Q36J686Z,0.09044191254289205
NWKHMEOF,0.1416322566814841
PVJYQQGT,0.3033413026665954
GPUMRNWC,0.05348849449624148
LXHCDSVH,0.15921410053828494
BNIUPSVK,0.08476933586097363
FW3QI3WW,0.07466992644158374
IEEUGXMY,0.8600005938207993
FVVXDLBO,0.05519275555696494
UC2JJB6Y,0.07312178214027133
3WPAHP52,0.5189624913724102
HDTCJJOE,0.5165583347794428
UCSB9GKK,0.06638813750022267
HANBFYTH,0.11714458712740136
FLUU2HNV,0.05446410327107459
64PIYWDJ,0.18774160565999576
9AHNH8ZX,0.857660536112105
KLHUI2SE,0.07649684544557636
YRHYUJFW,0.8376344461333884
G5RWWH7F,0.1531703115940949
SCBT9BAX,0.022928837766065878
UGZGLVNB,0.27427741974428704
2RRNUFBV,0.8236413196892244
B6O59TEY,0.4305762261510931
CYHRRYH6,0.0559372719040544
GGYZVHWU,0.07058419254028392
K6AM97RN,0.07069083642228713
ATM5JQYM,0.0630116260589919
7GYZSGWA,0.05061230370024179
DFWUDQCR,0.16820493270152037
E2Z98CR3,0.8490756356597804
GD9KTSLY,0.0536336157506139
2AMRA4OD,0.11737572742607812
CFHZ3ZE6,0.45552832146551386
BOMLVM5K,0.057833832954033465
OBBEGBSY,0.4515116229303384
FJEHOK8W,0.03970842642963415
3GMAEVPJ,0.12153721982798994
WAVDLUTH,0.0536228597589843
6EN8GZX6,0.1132095741236088
VXGA3GKB,0.1761391066062637
U4MZ3U8C,0.4589349283420052
GU4RDP8S,0.842869991676299
N3TPNHCD,0.11386689569434372
JRRHWQC8,0.5911960252006123
NZ5GBHZK,0.05293376266661583
LCUC2LAJ,0.829262361335697
DJDSU9D2,0.9129386265894127
647K6DBR,0.0655079322589279
